Arch_ID,D1,D2,D3,W1,W2,W3,WMul1,WMul2,WMul3,Params,FLOPs
0,4,4,4,128,256,512,8,8,8,23.354842,3361.936896
1,4,4,4,128,256,640,8,8,10,32.975578,3977.517952
2,4,4,4,128,256,768,8,8,12,44.660698,4725.219584
3,4,4,4,128,256,896,8,8,14,58.410202,5605.041792
4,4,4,4,128,256,1024,8,8,16,74.22409,6616.984576
5,4,4,4,128,320,512,8,10,8,26.087898,3998.5536
6,4,4,4,128,320,640,8,10,10,35.790554,4619.377536
7,4,4,4,128,320,768,8,10,12,47.557594,5372.322048
8,4,4,4,128,320,896,8,10,14,61.389018,6257.387136
9,4,4,4,128,320,1024,8,10,16,77.284826,7274.5728
10,4,4,4,128,384,512,8,12,8,29.33705,4767.29088
11,4,4,4,128,384,640,8,12,10,39.121626,5393.357696
12,4,4,4,128,384,768,8,12,12,50.970586,6151.545088
13,4,4,4,128,384,896,8,12,14,64.88393,7041.853056
14,4,4,4,128,384,1024,8,12,16,80.861658,8064.2816
15,4,4,4,128,448,512,8,14,8,33.102298,5668.148736
16,4,4,4,128,448,640,8,14,10,42.968794,6299.458432
17,4,4,4,128,448,768,8,14,12,54.899674,7062.888704
18,4,4,4,128,448,896,8,14,14,68.894938,7958.439552
19,4,4,4,128,448,1024,8,14,16,84.954586,8986.110976
20,4,4,4,128,512,512,8,16,8,37.383642,6701.127168
21,4,4,4,128,512,640,8,16,10,47.332058,7337.679744
22,4,4,4,128,512,768,8,16,12,59.344858,8106.352896
23,4,4,4,128,512,896,8,16,14,73.422042,9007.146624
24,4,4,4,128,512,1024,8,16,16,89.56361,10040.060928
25,4,4,4,160,256,512,10,8,8,24.023002,3982.956032
26,4,4,4,160,256,640,10,8,10,33.643738,4598.537088
27,4,4,4,160,256,768,10,8,12,45.328858,5346.23872
28,4,4,4,160,256,896,10,8,14,59.078362,6226.060928
29,4,4,4,160,256,1024,10,8,16,74.89225,7238.003712
30,4,4,4,160,320,512,10,10,8,26.776538,4624.815616
31,4,4,4,160,320,640,10,10,10,36.479194,5245.639552
32,4,4,4,160,320,768,10,10,12,48.246234,5998.584064
33,4,4,4,160,320,896,10,10,14,62.077658,6883.649152
34,4,4,4,160,320,1024,10,10,16,77.973466,7900.834816
35,4,4,4,160,384,512,10,12,8,30.04617,5398.795776
36,4,4,4,160,384,640,10,12,10,39.830746,6024.862592
37,4,4,4,160,384,768,10,12,12,51.679706,6783.049984
38,4,4,4,160,384,896,10,12,14,65.59305,7673.357952
39,4,4,4,160,384,1024,10,12,16,81.570778,8695.786496
40,4,4,4,160,448,512,10,14,8,33.831898,6304.896512
41,4,4,4,160,448,640,10,14,10,43.698394,6936.206208
42,4,4,4,160,448,768,10,14,12,55.629274,7699.63648
43,4,4,4,160,448,896,10,14,14,69.624538,8595.187328
44,4,4,4,160,448,1024,10,14,16,85.684186,9622.858752
45,4,4,4,160,512,512,10,16,8,38.133722,7343.117824
46,4,4,4,160,512,640,10,16,10,48.082138,7979.6704
47,4,4,4,160,512,768,10,16,12,60.094938,8748.343552
48,4,4,4,160,512,896,10,16,14,74.172122,9649.13728
49,4,4,4,160,512,1024,10,16,16,90.31369,10682.051584
50,4,4,4,192,256,512,12,8,8,24.820186,4736.095744
51,4,4,4,192,256,640,12,8,10,34.440922,5351.6768
52,4,4,4,192,256,768,12,8,12,46.126042,6099.378432
53,4,4,4,192,256,896,12,8,14,59.875546,6979.20064
54,4,4,4,192,256,1024,12,8,16,75.689434,7991.143424
55,4,4,4,192,320,512,12,10,8,27.594202,5383.198208
56,4,4,4,192,320,640,12,10,10,37.296858,6004.022144
57,4,4,4,192,320,768,12,10,12,49.063898,6756.966656
58,4,4,4,192,320,896,12,10,14,62.895322,7642.031744
59,4,4,4,192,320,1024,12,10,16,78.79113,8659.217408
60,4,4,4,192,384,512,12,12,8,30.884314,6162.421248
61,4,4,4,192,384,640,12,12,10,40.66889,6788.488064
62,4,4,4,192,384,768,12,12,12,52.51785,7546.675456
63,4,4,4,192,384,896,12,12,14,66.431194,8436.983424
64,4,4,4,192,384,1024,12,12,16,82.408922,9459.411968
65,4,4,4,192,448,512,12,14,8,34.690522,7073.764864
66,4,4,4,192,448,640,12,14,10,44.557018,7705.07456
67,4,4,4,192,448,768,12,14,12,56.487898,8468.504832
68,4,4,4,192,448,896,12,14,14,70.483162,9364.05568
69,4,4,4,192,448,1024,12,14,16,86.54281,10391.727104
70,4,4,4,192,512,512,12,16,8,39.012826,8117.229056
71,4,4,4,192,512,640,12,16,10,48.961242,8753.781632
72,4,4,4,192,512,768,12,16,12,60.974042,9522.454784
73,4,4,4,192,512,896,12,16,14,75.051226,10423.248512
74,4,4,4,192,512,1024,12,16,16,91.192794,11456.162816
75,4,4,4,224,256,512,14,8,8,25.746394,5621.356032
76,4,4,4,224,256,640,14,8,10,35.36713,6236.937088
77,4,4,4,224,256,768,14,8,12,47.05225,6984.63872
78,4,4,4,224,256,896,14,8,14,60.801754,7864.460928
79,4,4,4,224,256,1024,14,8,16,76.615642,8876.403712
80,4,4,4,224,320,512,14,10,8,28.54089,6273.701376
81,4,4,4,224,320,640,14,10,10,38.243546,6894.525312
82,4,4,4,224,320,768,14,10,12,50.010586,7647.469824
83,4,4,4,224,320,896,14,10,14,63.84201,8532.534912
84,4,4,4,224,320,1024,14,10,16,79.737818,9549.720576
85,4,4,4,224,384,512,14,12,8,31.851482,7058.167296
86,4,4,4,224,384,640,14,12,10,41.636058,7684.234112
87,4,4,4,224,384,768,14,12,12,53.485018,8442.421504
88,4,4,4,224,384,896,14,12,14,67.398362,9332.729472
89,4,4,4,224,384,1024,14,12,16,83.37609,10355.158016
90,4,4,4,224,448,512,14,14,8,35.67817,7974.753792
91,4,4,4,224,448,640,14,14,10,45.544666,8606.063488
92,4,4,4,224,448,768,14,14,12,57.475546,9369.49376
93,4,4,4,224,448,896,14,14,14,71.47081,10265.044608
94,4,4,4,224,448,1024,14,14,16,87.530458,11292.716032
95,4,4,4,224,512,512,14,16,8,40.020954,9023.460864
96,4,4,4,224,512,640,14,16,10,49.96937,9660.01344
97,4,4,4,224,512,768,14,16,12,61.98217,10428.686592
98,4,4,4,224,512,896,14,16,14,76.059354,11329.48032
99,4,4,4,224,512,1024,14,16,16,92.200922,12362.394624
100,4,4,4,256,256,512,16,8,8,26.801626,6638.736896
101,4,4,4,256,256,640,16,8,10,36.422362,7254.317952
102,4,4,4,256,256,768,16,8,12,48.107482,8002.019584
103,4,4,4,256,256,896,16,8,14,61.856986,8881.841792
104,4,4,4,256,256,1024,16,8,16,77.670874,9893.784576
105,4,4,4,256,320,512,16,10,8,29.616602,7296.32512
106,4,4,4,256,320,640,16,10,10,39.319258,7917.149056
107,4,4,4,256,320,768,16,10,12,51.086298,8670.093568
108,4,4,4,256,320,896,16,10,14,64.917722,9555.158656
109,4,4,4,256,320,1024,16,10,16,80.81353,10572.34432
110,4,4,4,256,384,512,16,12,8,32.947674,8086.03392
111,4,4,4,256,384,640,16,12,10,42.73225,8712.100736
112,4,4,4,256,384,768,16,12,12,54.58121,9470.288128
113,4,4,4,256,384,896,16,12,14,68.494554,10360.596096
114,4,4,4,256,384,1024,16,12,16,84.472282,11383.02464
115,4,4,4,256,448,512,16,14,8,36.794842,9007.863296
116,4,4,4,256,448,640,16,14,10,46.661338,9639.172992
117,4,4,4,256,448,768,16,14,12,58.592218,10402.603264
118,4,4,4,256,448,896,16,14,14,72.587482,11298.154112
119,4,4,4,256,448,1024,16,14,16,88.64713,12325.825536
120,4,4,4,256,512,512,16,16,8,41.158106,10061.813248
121,4,4,4,256,512,640,16,16,10,51.106522,10698.365824
122,4,4,4,256,512,768,16,16,12,63.119322,11467.038976
123,4,4,4,256,512,896,16,16,14,77.196506,12367.832704
124,4,4,4,256,512,1024,16,16,16,93.338074,13400.747008
125,4,4,5,128,256,512,8,8,8,28.075482,3663.99232
126,4,4,5,128,256,640,8,8,10,40.350938,4449.459072
127,4,4,5,128,256,768,8,8,12,55.280602,5404.795136
128,4,4,5,128,256,896,8,8,14,72.864474,6530.000512
129,4,4,5,128,256,1024,8,8,16,93.102554,7825.0752
130,4,4,5,128,320,512,8,10,8,30.808538,4300.609024
131,4,4,5,128,320,640,8,10,10,43.165914,5091.318656
132,4,4,5,128,320,768,8,10,12,58.177498,6051.8976
133,4,4,5,128,320,896,8,10,14,75.84329,7182.345856
134,4,4,5,128,320,1024,8,10,16,96.16329,8482.663424
135,4,4,5,128,384,512,8,12,8,34.05769,5069.346304
136,4,4,5,128,384,640,8,12,10,46.496986,5865.298816
137,4,4,5,128,384,768,8,12,12,61.59049,6831.12064
138,4,4,5,128,384,896,8,12,14,79.338202,7966.811776
139,4,4,5,128,384,1024,8,12,16,99.740122,9272.372224
140,4,4,5,128,448,512,8,14,8,37.822938,5970.20416
141,4,4,5,128,448,640,8,14,10,50.344154,6771.399552
142,4,4,5,128,448,768,8,14,12,65.519578,7742.464256
143,4,4,5,128,448,896,8,14,14,83.34921,8883.398272
144,4,4,5,128,448,1024,8,14,16,103.83305,10194.2016
145,4,4,5,128,512,512,8,16,8,42.104282,7003.182592
146,4,4,5,128,512,640,8,16,10,54.707418,7809.620864
147,4,4,5,128,512,768,8,16,12,69.964762,8785.928448
148,4,4,5,128,512,896,8,16,14,87.876314,9932.105344
149,4,4,5,128,512,1024,8,16,16,108.442074,11248.151552
150,4,4,5,160,256,512,10,8,8,28.743642,4285.011456
151,4,4,5,160,256,640,10,8,10,41.019098,5070.478208
152,4,4,5,160,256,768,10,8,12,55.948762,6025.814272
153,4,4,5,160,256,896,10,8,14,73.532634,7151.019648
154,4,4,5,160,256,1024,10,8,16,93.770714,8446.094336
155,4,4,5,160,320,512,10,10,8,31.497178,4926.87104
156,4,4,5,160,320,640,10,10,10,43.854554,5717.580672
157,4,4,5,160,320,768,10,10,12,58.866138,6678.159616
158,4,4,5,160,320,896,10,10,14,76.53193,7808.607872
159,4,4,5,160,320,1024,10,10,16,96.85193,9108.92544
160,4,4,5,160,384,512,10,12,8,34.76681,5700.8512
161,4,4,5,160,384,640,10,12,10,47.206106,6496.803712
162,4,4,5,160,384,768,10,12,12,62.29961,7462.625536
163,4,4,5,160,384,896,10,12,14,80.047322,8598.316672
164,4,4,5,160,384,1024,10,12,16,100.449242,9903.87712
165,4,4,5,160,448,512,10,14,8,38.552538,6606.951936
166,4,4,5,160,448,640,10,14,10,51.073754,7408.147328
167,4,4,5,160,448,768,10,14,12,66.249178,8379.212032
168,4,4,5,160,448,896,10,14,14,84.07881,9520.146048
169,4,4,5,160,448,1024,10,14,16,104.56265,10830.949376
170,4,4,5,160,512,512,10,16,8,42.854362,7645.173248
171,4,4,5,160,512,640,10,16,10,55.457498,8451.61152
172,4,4,5,160,512,768,10,16,12,70.714842,9427.919104
173,4,4,5,160,512,896,10,16,14,88.626394,10574.096
174,4,4,5,160,512,1024,10,16,16,109.192154,11890.142208
175,4,4,5,192,256,512,12,8,8,29.540826,5038.151168
176,4,4,5,192,256,640,12,8,10,41.816282,5823.61792
177,4,4,5,192,256,768,12,8,12,56.745946,6778.953984
178,4,4,5,192,256,896,12,8,14,74.329818,7904.15936
179,4,4,5,192,256,1024,12,8,16,94.567898,9199.234048
180,4,4,5,192,320,512,12,10,8,32.314842,5685.253632
181,4,4,5,192,320,640,12,10,10,44.672218,6475.963264
182,4,4,5,192,320,768,12,10,12,59.683802,7436.542208
